dx,TERM,CHAPTER,BLOCK
M0096,"Pyogenic arthritis, unspecified: lower leg",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M0099,"Pyogenic arthritis, unspecified: site unspecified",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M0119,Tuberculous arthritis (A18.0+): site unspecified,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M0909,Juvenile arthritis in psoriasis (L40.5+): site unspecified,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1092,"Gout, unspecified: upper arm",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1120,Other chondrocalcinosis: multiple sites,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1126,Other chondrocalcinosis: lower leg,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1183,Other specified crystal arthropathies: forearm,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1999,"Arthrosis, unspecified: site unspecified",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M316,Other giant cell arteritis,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M350,Sicca syndrome [Sjรถgren],Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
M6593,"Synovitis and tenosynovitis, unspecified: forearm",Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M7127,Synovial cyst of popliteal space [Baker]: ankle and foot,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M7269,Necrotising fasciitis: site unspecified,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M7919,Myalgia: site unspecified,Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders
M8669,Other chronic osteomyelitis: site unspecified,Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
M8697,"Osteomyelitis, unspecified: ankle and foot",Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
N042,Nephrotic syndrome: diffuse membranous glomerulonephritis,Diseases of the genitourinary system,Glomerular diseases
N210,Calculus in bladder,Diseases of the genitourinary system,Urolithiasis
N280,Ischaemia and infarction of kidney,Diseases of the genitourinary system,Other disorders of kidney and ureter
N359,"Urethral stricture, unspecified",Diseases of the genitourinary system,Other diseases of urinary system
N433,"Hydrocele, unspecified",Diseases of the genitourinary system,Diseases of male genital organs
N841,Polyp of cervix uteri,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
Q202,Double outlet left ventricle,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q204,Double inlet ventricle,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q212,Atrioventricular septal defect,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q213,Tetralogy of Fallot,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q221,Congenital pulmonary valve stenosis,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q233,Congenital mitral insufficiency,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q241,Levocardia,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q246,Congenital heart block,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q248,Other specified congenital malformations of the heart,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q249,"Congenital malformation of the heart, unspecified","Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q870,Congenital malformation syndromes predominantly affecting facial appearance,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations
Q998,Other specified chromosome abnormalities,"Congenital malformations, deformations and chromosomal abnormalities","Chromosomal abnormalities, not elsewhere classified"
R061,Stridor,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R068,Other and unspecified abnormalities of breathing,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R160,"Hepatomegaly, not elsewhere classified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen
R270,"Ataxia, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the nervous and musculoskeletal systems
R418,Other and unspecified symptoms and signs involving cognitive functions and awareness,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Symptoms and signs involving cognition, perception, emotional state and behaviour"
R609,"Oedema, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R638,Other symptoms and signs concerning food and fluid intake,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R748,Abnormal levels of other serum enzymes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis"
R932,Abnormal findings on diagnostic imaging of liver and biliary tract,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
T808,"Other complications following infusion, transfusion and therapeutic injection","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
B203,HIV disease resulting in other viral infections,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease
B259,"Cytomegaloviral disease, unspecified",Certain infectious and parasitic diseases,Other viral diseases
D381,"Neoplasm of trachea, bronchus and lung",Neoplasms,Neoplasms of uncertain or unknown behaviour
D474,Osteomyelofibrosis,Neoplasms,Neoplasms of uncertain or unknown behaviour
F410,Panic disorder [episodic paroxysmal anxiety],Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
J82,"Pulmonary eosinophilia, not elsewhere classified",Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
L680,Hirsutism,Diseases of the skin and subcutaneous tissue,Disorders of skin appendages
M4306,Spondylolysis: Lumbar region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
N911,Secondary amenorrhoea,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
R060,Dyspnoea,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R402,"Coma, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Symptoms and signs involving cognition, perception, emotional state and behaviour"
T821,Mechanical complication of cardiac electronic device,"Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
F152,Mental and behavioral disorders due to use of other stimulants including caffeine: Dependence sydrome,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
H160,Corneal ulcer,Diseases of the eye and adnexa,"Disorders of sclera, cornea, iris and ciliary body"
I426,Alcoholic cardiomyopathy,Diseases of the circulatory system,Other forms of heart disease
J398,Other specified diseases of upper respiratory tract,Diseases of the respiratory system,Other diseases of upper respiratory tract
M2554,Pain in joint: hand,Diseases of the musculoskeletal system and connective tissue,Arthropathies
N808,Other endometriosis,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
Q200,Common arterial trunk,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
R799,"Abnormal finding of blood chemistry, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis"
G039,"Meningitis, unspecified",Diseases of the nervous system,Inflammatory diseases of the central nervous system
G919,"Hydrocephalus, unspecified",Diseases of the nervous system,Other disorders of the nervous system
